400027;(nappali) világosság (n);daylight;[sound:NewHeadwayInt4HU400027A.mp3];It’s easier to drive in daylight.;[sound:NewHeadwayInt4HU400027B.mp3];;X;Unit1
400028;lebontás (n);demolition;[sound:NewHeadwayInt4HU400028A.mp3];The building is unsafe and due for demolition.;[sound:NewHeadwayInt4HU400028B.mp3];;X;Unit1
400029;megsemmisít, lerombol (v);destroy;[sound:NewHeadwayInt4HU400029A.mp3];The building was destroyed by fire.;[sound:NewHeadwayInt4HU400029B.mp3];;X;Unit1
400030;varrónő (n);dressmaker;[sound:NewHeadwayInt4HU400030A.mp3];She works as a dressmaker in a clothes factory.;[sound:NewHeadwayInt4HU400030B.mp3];;X;Unit1
400031;földrengés (n);earthquake;[sound:NewHeadwayInt4HU400031A.mp3];An earthquake makes the ground shake.;[sound:NewHeadwayInt4HU400031B.mp3];;X;Unit1
400032;idős (adj);elderly;[sound:NewHeadwayInt4HU400032A.mp3];She looks after her elderly grandmother.;[sound:NewHeadwayInt4HU400032B.mp3];;X;Unit1
400033;végül (oda jut, hogy) megtesz valamit (v);end up (doing);[sound:NewHeadwayInt4HU400033A.mp3];She studied English, and ended up becoming a teacher.;[sound:NewHeadwayInt4HU400033B.mp3];;X;Unit1
400034;Egyenlítő (n);Equator;[sound:NewHeadwayInt4HU400034A.mp3];It is very hot on the Equator.;[sound:NewHeadwayInt4HU400034B.mp3];;X;Unit1
400035;kiterjedt, tágabb család (n);extended family;[sound:NewHeadwayInt4HU400035A.mp3];He’s got a large extended family, with 26 cousins!;[sound:NewHeadwayInt4HU400035B.mp3];;X;Unit1
400036;kihalt (adj);extinct;[sound:NewHeadwayInt4HU400036A.mp3];There are not many tigers left – they are almost extinct.;[sound:NewHeadwayInt4HU400036B.mp3];;X;Unit1
400037;tiszteletdíj (n);fee;[sound:NewHeadwayInt4HU400037A.mp3];Lawyers often charge very high fees.;[sound:NewHeadwayInt4HU400037B.mp3];;X;Unit1
400038;tömés (n);filling;[sound:NewHeadwayInt4HU400038A.mp3];I had a filling at the dentist’s this morning.;[sound:NewHeadwayInt4HU400038B.mp3];;X;Unit1
400039;örökre ();for good;[sound:NewHeadwayInt4HU400039A.mp3];Have you left England for good, or will you return one day?;[sound:NewHeadwayInt4HU400039B.mp3];;X;Unit1
400040;megtilt (v);forbid;[sound:NewHeadwayInt4HU400040A.mp3];Smoking isn’t allowed – it’s forbidden.;[sound:NewHeadwayInt4HU400040B.mp3];;X;Unit1
400041;gyenge, törékeny (adj);frail;[sound:NewHeadwayInt4HU400041A.mp3];Her grandfather is old and frail now.;[sound:NewHeadwayInt4HU400041B.mp3];;X;Unit1
400042;mértékletesen, takarékosan (adv);frugally;[sound:NewHeadwayInt4HU400042A.mp3];We saved money by eating frugally.;[sound:NewHeadwayInt4HU400042B.mp3];;X;Unit1
400043;globális felmelegedés (n);global warming;[sound:NewHeadwayInt4HU400043A.mp3];Pollution from cars causes global warming.;[sound:NewHeadwayInt4HU400043B.mp3];;X;Unit1
400044;nagyon soká elég (v);(not) go far;[sound:NewHeadwayInt4HU400044A.mp3];"&pound;20 won’t go far in London – it won’t even buy a meal!";[sound:NewHeadwayInt4HU400044B.mp3];;X;Unit1
400045;működni kezd (v);go live;[sound:NewHeadwayInt4HU400045A.mp3];The new computer system went live yesterday.;[sound:NewHeadwayInt4HU400045B.mp3];;X;Unit1
400046;hosszasan, sokat beszél valamiről (v);go on about;[sound:NewHeadwayInt4HU400046A.mp3];He’s always going on about football!;[sound:NewHeadwayInt4HU400046B.mp3];;X;Unit1
400047;székhely (n);headquarters;[sound:NewHeadwayInt4HU400047A.mp3];The company’s headquarters is in Paris.;[sound:NewHeadwayInt4HU400047B.mp3];;X;Unit1
400048;örökség (n);heritage;[sound:NewHeadwayInt4HU400048A.mp3];Egypt has a very rich heritage.;[sound:NewHeadwayInt4HU400048B.mp3];;X;Unit1
400049;tart(ja a vonalat) (v);hold;[sound:NewHeadwayInt4HU400049A.mp3];Please hold, and I'll put you through to Mr Blake’s office.;[sound:NewHeadwayInt4HU400049B.mp3];;X;Unit1
400050;remélhetőleg (adv);hopefully;[sound:NewHeadwayInt4HU400050A.mp3];Hopefully, I’ll pass my exams!;[sound:NewHeadwayInt4HU400050B.mp3];;X;Unit1
400051;vendégszeretet (n);hospitality;[sound:NewHeadwayInt4HU400051A.mp3];Thank you for your kind hospitality.;[sound:NewHeadwayInt4HU400051B.mp3];;X;Unit1
400052;jéghegy (n);iceberg;[sound:NewHeadwayInt4HU400052A.mp3];You can see icebergs near the North Pole.;[sound:NewHeadwayInt4HU400052B.mp3];;X;Unit1
400053;közvetlen családtagok (n);immediate family;[sound:NewHeadwayInt4HU400053A.mp3];I only invited my immediate family, not all my aunts and uncles.;[sound:NewHeadwayInt4HU400053B.mp3];;X;Unit1
400054;öltözet, szerelés (n);kit;[sound:NewHeadwayInt4HU400054A.mp3];Manchester United wear a red and white kit.;[sound:NewHeadwayInt4HU400054B.mp3];;X;Unit1
400055;várható élettartam (n);life expectancy;[sound:NewHeadwayInt4HU400055A.mp3];Life expectancy is high in most European countries.;[sound:NewHeadwayInt4HU400055B.mp3];;X;Unit1
400056;egy csomó, nagyon sok (n);loads;[sound:NewHeadwayInt4HU400056A.mp3];John will pay – he’s got loads of money!;[sound:NewHeadwayInt4HU400056B.mp3];;X;Unit1
400057;főleg (adv);mainly;[sound:NewHeadwayInt4HU400057A.mp3];He’s travelled a lot, mainly in Europe.;[sound:NewHeadwayInt4HU400057B.mp3];;X;Unit1
400058;belefér az idejébe (v);make;[sound:NewHeadwayInt4HU400058A.mp3];I’m sorry, I can’t make Tuesday. I’m busy.;[sound:NewHeadwayInt4HU400058B.mp3];;X;Unit1
400059;eszköz (n);means;[sound:NewHeadwayInt4HU400059A.mp3];The plane is a fast means of transport.;[sound:NewHeadwayInt4HU400059B.mp3];;X;Unit1
400060;jelmondat (n);motto;[sound:NewHeadwayInt4HU400060A.mp3];My motto is ‘Never give up!’;[sound:NewHeadwayInt4HU400060B.mp3];;X;Unit1
400061;muffin (n);muffin;[sound:NewHeadwayInt4HU400061A.mp3];She makes delicious chocolate muffins.;[sound:NewHeadwayInt4HU400061B.mp3];;X;Unit1
400062;önkormányzati (adj);municipal;[sound:NewHeadwayInt4HU400062A.mp3];The town has some lovely municipal buildings.;[sound:NewHeadwayInt4HU400062B.mp3];;X;Unit1
400063;pártatlan (adj);neutral;[sound:NewHeadwayInt4HU400063A.mp3];The referee should be neutral.;[sound:NewHeadwayInt4HU400063B.mp3];;X;Unit1
400064;képtelenség (n);nonsense;[sound:NewHeadwayInt4HU400064A.mp3];That’s not true - it’s nonsense!;[sound:NewHeadwayInt4HU400064B.mp3];;X;Unit1
400065;szemmel látható (adj);noticeable;[sound:NewHeadwayInt4HU400065A.mp3];It was noticeable that she was tired.;[sound:NewHeadwayInt4HU400065B.mp3];;X;Unit1
400066;a kilométerórában (n);on the clock;[sound:NewHeadwayInt4HU400066A.mp3];My old car’s got 150,000 miles on the clock.;[sound:NewHeadwayInt4HU400066B.mp3];;X;Unit1
400067;telefonközpontos (n);operator;[sound:NewHeadwayInt4HU400067A.mp3];An operator answered the phone and asked who I wanted to speak to.;[sound:NewHeadwayInt4HU400067B.mp3];;X;Unit1
400068;alkalom, lehetőség (n);opportunity;[sound:NewHeadwayInt4HU400068A.mp3];I would love the opportunity to travel.;[sound:NewHeadwayInt4HU400068B.mp3];;X;Unit1
400069;eredetileg (adv);originally;[sound:NewHeadwayInt4HU400069A.mp3];Originally, she’s from Slovakia.;[sound:NewHeadwayInt4HU400069B.mp3];;X;Unit1
400070;előadás (n);performance;[sound:NewHeadwayInt4HU400070A.mp3];We saw a performance of Hamlet last night. ;[sound:NewHeadwayInt4HU400070B.mp3];;X;Unit1
400071;PIN kód (n);pin number;[sound:NewHeadwayInt4HU400071A.mp3];Never tell anyone your pin number.;[sound:NewHeadwayInt4HU400071B.mp3];;X;Unit1
400072;politika, stratégia (n);policy;[sound:NewHeadwayInt4HU400072A.mp3];What is the government’s policy on education?;[sound:NewHeadwayInt4HU400072B.mp3];;X;Unit1
400073;(iskolai előkészítő) óvoda (n);preschool;[sound:NewHeadwayInt4HU400073A.mp3];Children go to preschool at 2 or 3 years old.;[sound:NewHeadwayInt4HU400073B.mp3];;X;Unit1
400074;rangos (adj);prestigious;[sound:NewHeadwayInt4HU400074A.mp3];The film won several prestigious awards.;[sound:NewHeadwayInt4HU400074B.mp3];;X;Unit1
400075;feltehetően (adv);presumably;[sound:NewHeadwayInt4HU400075A.mp3];He’s from France, so presumably he speaks French.;[sound:NewHeadwayInt4HU400075B.mp3];;X;Unit1
400076;rövid életrajz (n);profile;[sound:NewHeadwayInt4HU400076A.mp3];I read a profile of the singer Beyoncé.;[sound:NewHeadwayInt4HU400076B.mp3];;X;Unit1
400077;politikai propaganda (egyoldalú tájékoztatás valamilyen cél érdekében) (n);propaganda;[sound:NewHeadwayInt4HU400077A.mp3];The story wasn’t true – it was just propaganda.;[sound:NewHeadwayInt4HU400077B.mp3];;X;Unit1
400078;biztosít, ad (v);provide;[sound:NewHeadwayInt4HU400078A.mp3];The school provides pens and paper.;[sound:NewHeadwayInt4HU400078B.mp3];;X;Unit1
400079;pizsama (n);pyjamas;[sound:NewHeadwayInt4HU400079A.mp3];He put on his pyjamas and climbed into bed.;[sound:NewHeadwayInt4HU400079B.mp3];;X;Unit1
400080;felnevel (v);raise;[sound:NewHeadwayInt4HU400080A.mp3];It’s hard work raising children.;[sound:NewHeadwayInt4HU400080B.mp3];;X;Unit1
400081;elér (v);reach;[sound:NewHeadwayInt4HU400081A.mp3];The temperature reached 42 degrees.;[sound:NewHeadwayInt4HU400081B.mp3];;X;Unit1
400082;bánat, sajnálat (n);regret;[sound:NewHeadwayInt4HU400082A.mp3];Her biggest regret is not going to university.;[sound:NewHeadwayInt4HU400082B.mp3];;X;Unit1
400083;kutatás (n);research;[sound:NewHeadwayInt4HU400083A.mp3];They are doing research into the causes of cancer.;[sound:NewHeadwayInt4HU400083B.mp3];;X;Unit1
400084;vacak, szemét (n);rubbish;[sound:NewHeadwayInt4HU400084A.mp3];That film was awful – it was rubbish!;[sound:NewHeadwayInt4HU400084B.mp3];;X;Unit1
400085;letelepszik, közös otthont teremt (v);settle down;[sound:NewHeadwayInt4HU400085A.mp3];They decided to get married and settle down.;[sound:NewHeadwayInt4HU400085B.mp3];;X;Unit1
400086;nemsokára (adv);shortly;[sound:NewHeadwayInt4HU400086A.mp3];I won’t be long – I’ll see you shortly.;[sound:NewHeadwayInt4HU400086B.mp3];;X;Unit1
400087;hasonlóság (n);similarity;[sound:NewHeadwayInt4HU400087A.mp3];I can see some similarities between you and your brother.;[sound:NewHeadwayInt4HU400087B.mp3];;X;Unit1
400088;nyomorúságos állapotban levő épület (n);slum;[sound:NewHeadwayInt4HU400088A.mp3];Most of the houses are slums, with no electricity or running water.;[sound:NewHeadwayInt4HU400088B.mp3];;X;Unit1
400089;emelet (n);storey;[sound:NewHeadwayInt4HU400089A.mp3];The building has got six storeys.;[sound:NewHeadwayInt4HU400089B.mp3];;X;Unit1
400090;feszült (adj);stressed;[sound:NewHeadwayInt4HU400090A.mp3];Most students get stressed at exam time.;[sound:NewHeadwayInt4HU400090B.mp3];;X;Unit1
400091;szerkezet (n);structure;[sound:NewHeadwayInt4HU400091A.mp3];The structure of society is changing.;[sound:NewHeadwayInt4HU400091B.mp3];;X;Unit1
400092;ott ragad valahol (adj);stuck;[sound:NewHeadwayInt4HU400092A.mp3];We were stuck at the airport for two days!;[sound:NewHeadwayInt4HU400092B.mp3];;X;Unit1
400093;külváros (n);suburb;[sound:NewHeadwayInt4HU400093A.mp3];I live in a suburb of Leeds, not in the city centre.;[sound:NewHeadwayInt4HU400093B.mp3];;X;Unit1
400094;felmérés (n);survey;[sound:NewHeadwayInt4HU400094A.mp3];We did a survey on students’ eating habits.;[sound:NewHeadwayInt4HU400094B.mp3];;X;Unit1
400095;elvisz (v);take away;[sound:NewHeadwayInt4HU400095A.mp3];Two coffees to take away, please.;[sound:NewHeadwayInt4HU400095B.mp3];;X;Unit1
400096;elvitelre;to take away;[sound:NewHeadwayInt4HU400096A.mp3];;[sound:NewHeadwayInt4HU400096B.mp3];;X;Unit1
400097;hazavisz, nettóban keres (v);take home;[sound:NewHeadwayInt4HU400097A.mp3];"She takes home about &pound;500 a month.";[sound:NewHeadwayInt4HU400097B.mp3];;X;Unit1
400098;nehéz, furfangos (adj);tricky;[sound:NewHeadwayInt4HU400098A.mp3];I can’t do this puzzle – it’s quite tricky.;[sound:NewHeadwayInt4HU400098B.mp3];;X;Unit1
400099;végül (adv);ultimately;[sound:NewHeadwayInt4HU400099A.mp3];I’m studying law, and ultimately I want to be a lawyer.;[sound:NewHeadwayInt4HU400099B.mp3];;X;Unit1
400100;sürgős (adj);urgent;[sound:NewHeadwayInt4HU400100A.mp3];I need to see you now! It’s urgent!;[sound:NewHeadwayInt4HU400100B.mp3];;X;Unit1
400101;szavaz (v);vote;[sound:NewHeadwayInt4HU400101A.mp3];Who did you vote for in the election?;[sound:NewHeadwayInt4HU400101B.mp3];;X;Unit1
400102;szavazati jog (n);vote;[sound:NewHeadwayInt4HU400102A.mp3];Everyone over 18 has the vote.;[sound:NewHeadwayInt4HU400102B.mp3];;X;Unit1
400103;kiegyensúlyozott (adj);well-balanced;[sound:NewHeadwayInt4HU400103A.mp3];She seems happy and well-balanced.;[sound:NewHeadwayInt4HU400103B.mp3];;X;Unit1
400104;széles körben (adv);widely;[sound:NewHeadwayInt4HU400104A.mp3];His books are widely read.;[sound:NewHeadwayInt4HU400104B.mp3];;X;Unit1
400105;véghezvisz (v);accomplish;[sound:NewHeadwayInt4HU400105A.mp3];She finally accomplished her plan.;[sound:NewHeadwayInt4HU400105B.mp3];;X;Unit2
400106;valójában (adv);actually;[sound:NewHeadwayInt4HU400106A.mp3];No, actually he’s not Spanish, he’s Portuguese.;[sound:NewHeadwayInt4HU400106B.mp3];;X;Unit2
400107;bámulatos, elképesztően jó (adj);amazing;[sound:NewHeadwayInt4HU400107A.mp3];The hotel was great, and the food was amazing!;[sound:NewHeadwayInt4HU400107B.mp3];;X;Unit2
400108;nagykövet (n);ambassador;[sound:NewHeadwayInt4HU400108A.mp3];He works as the German ambassador in London.;[sound:NewHeadwayInt4HU400108B.mp3];;X;Unit2
400109;éves (adj);annual;[sound:NewHeadwayInt4HU400109A.mp3];"He has an annual salary of &pound;35,000.";[sound:NewHeadwayInt4HU400109B.mp3];;X;Unit2
400110;részt vesz (v);attend;[sound:NewHeadwayInt4HU400110A.mp3];How many people will attend the wedding?;[sound:NewHeadwayInt4HU400110B.mp3];;X;Unit2
400111;süt (v);bake;[sound:NewHeadwayInt4HU400111A.mp3];Let's bake a cake for Dad's birthday.;[sound:NewHeadwayInt4HU400111B.mp3];;X;Unit2
400112;bankszakma (n);banking;[sound:NewHeadwayInt4HU400112A.mp3];He works in banking.;[sound:NewHeadwayInt4HU400112B.mp3];;X;Unit2
400113;roston süt (húst) a szabadban (v);barbecue;[sound:NewHeadwayInt4HU400113A.mp3];We barbecued some steak in the garden.;[sound:NewHeadwayInt4HU400113B.mp3];;X;Unit2
400114;alkalmi vétel (n);bargain;[sound:NewHeadwayInt4HU400114A.mp3];I got some real bargains in the sales.;[sound:NewHeadwayInt4HU400114B.mp3];;X;Unit2
400115;tartja a kapcsolatot valakivel (v);be in touch (with);[sound:NewHeadwayInt4HU400115A.mp3];I’ll be in touch with you next week.;[sound:NewHeadwayInt4HU400115B.mp3];;X;Unit2
400116;van, elhelyezkedik (v);be situated;[sound:NewHeadwayInt4HU400116A.mp3];The office is situated on March Road.;[sound:NewHeadwayInt4HU400116B.mp3];;X;Unit2
400117;bentlakásos iskola (n);boarding school;[sound:NewHeadwayInt4HU400117A.mp3];He was sent away to a boarding school.;[sound:NewHeadwayInt4HU400117B.mp3];;X;Unit2
400118;forral (v);boil;[sound:NewHeadwayInt4HU400118A.mp3];Shall I boil some water to make coffee?;[sound:NewHeadwayInt4HU400118B.mp3];;X;Unit2
400119;főnök (n);boss;[sound:NewHeadwayInt4HU400119A.mp3];I’ll ask my boss if I can have a day off.;[sound:NewHeadwayInt4HU400119B.mp3];;X;Unit2
400120;tévés, rádiós (n);broadcaster;[sound:NewHeadwayInt4HU400120A.mp3];She wants to be a television broadcaster.;[sound:NewHeadwayInt4HU400120B.mp3];;X;Unit2
400121;költségvetés (n);budget;[sound:NewHeadwayInt4HU400121A.mp3];"Our budget for this project is &pound;3000.";[sound:NewHeadwayInt4HU400121B.mp3];;X;Unit2
400122;komornyik (n);butler;[sound:NewHeadwayInt4HU400122A.mp3];A butler organizes all the staff in a big house.;[sound:NewHeadwayInt4HU400122B.mp3];;X;Unit2
400123;nyüzsgés (n);buzz;[sound:NewHeadwayInt4HU400123A.mp3];There’s a buzz in the school at the end of term.;[sound:NewHeadwayInt4HU400123B.mp3];;X;Unit2
400124;fizetőképesség (n);cash flow;[sound:NewHeadwayInt4HU400124A.mp3];The business is having problems with cash flow.;[sound:NewHeadwayInt4HU400124B.mp3];;X;Unit2
400125;pénztáros (n);cashier;[sound:NewHeadwayInt4HU400125A.mp3];He handed his money to the cashier.;[sound:NewHeadwayInt4HU400125B.mp3];;X;Unit2
400126;tűzálló edény (n);casserole dish;[sound:NewHeadwayInt4HU400126A.mp3];Cook the meat in a casserole dish in the oven.;[sound:NewHeadwayInt4HU400126B.mp3];;X;Unit2
400127;behozza a lemaradását, képbe kerül (v);catch up on;[sound:NewHeadwayInt4HU400127A.mp3];It’s good to catch up on your news.;[sound:NewHeadwayInt4HU400127B.mp3];;X;Unit2
400128;kihívást jelentő (adj);challenging;[sound:NewHeadwayInt4HU400128A.mp3];Skiing is a challenging sport.;[sound:NewHeadwayInt4HU400128B.mp3];;X;Unit2
400129;jótékonyság(i egyesület) (n);charity;[sound:NewHeadwayInt4HU400129A.mp3];The charity ‘Shelter’ helps people who have nowhere to live.;[sound:NewHeadwayInt4HU400129B.mp3];;X;Unit2
400130;elbűvölő (adj);charming;[sound:NewHeadwayInt4HU400130A.mp3];What a polite and charming man!;[sound:NewHeadwayInt4HU400130B.mp3];;X;Unit2
400131;csekk (n);cheque;[sound:NewHeadwayInt4HU400131A.mp3];I’ve sent you a cheque for the full amount.;[sound:NewHeadwayInt4HU400131B.mp3];;X;Unit2
400132;felaprít (v);chop;[sound:NewHeadwayInt4HU400132A.mp3];First, chop the onions.;[sound:NewHeadwayInt4HU400132B.mp3];;X;Unit2
400133;koncentrál, összpontosít (v);concentrate;[sound:NewHeadwayInt4HU400133A.mp3];When I’m tired I can’t concentrate on anything.;[sound:NewHeadwayInt4HU400133B.mp3];;X;Unit2
400134;aggódik (adj);concerned;[sound:NewHeadwayInt4HU400134A.mp3];She was concerned about my health.;[sound:NewHeadwayInt4HU400134B.mp3];;X;Unit2
400135;konzervatív (adj);conservative;[sound:NewHeadwayInt4HU400135A.mp3];She doesn’t like change – she’s very conservative.;[sound:NewHeadwayInt4HU400135B.mp3];;X;Unit2
400136;kényelmes, megfelelő (adj);convenient;[sound:NewHeadwayInt4HU400136A.mp3];There’s a shop on the corner, which is very convenient.;[sound:NewHeadwayInt4HU400136B.mp3];;X;Unit2
400137;Megbirkózik (vmivel) (v);cope (with);[sound:NewHeadwayInt4HU400137A.mp3];I don’t know how she copes with all her work.;[sound:NewHeadwayInt4HU400137B.mp3];;X;Unit2
400138;szabadnap (n);day off;[sound:NewHeadwayInt4HU400138A.mp3];I have two days off a week.;[sound:NewHeadwayInt4HU400138B.mp3];;X;Unit2
400139;tisztességes, rendes (adj);decent;[sound:NewHeadwayInt4HU400139A.mp3];He’s got a decent job in a bank.;[sound:NewHeadwayInt4HU400139B.mp3];;X;Unit2
400140;helyettes (n);deputy;[sound:NewHeadwayInt4HU400140A.mp3];My deputy will take over while I am away.;[sound:NewHeadwayInt4HU400140B.mp3];;X;Unit2
400141;dokumentumfilm (n);documentary;[sound:NewHeadwayInt4HU400141A.mp3];I watched a documentary about Hungary.;[sound:NewHeadwayInt4HU400141B.mp3];;X;Unit2
400142;fúró (n);drill;[sound:NewHeadwayInt4HU400142A.mp3];I’ll make a hole in the wall with my electric drill.;[sound:NewHeadwayInt4HU400142B.mp3];;X;Unit2
400143;kötelességtudó (adj);dutiful;[sound:NewHeadwayInt4HU400143A.mp3];She was a dutiful daughter who looked after her parents.;[sound:NewHeadwayInt4HU400143B.mp3];;X;Unit2
400144;kötelesség (n);duty;[sound:NewHeadwayInt4HU400144A.mp3];It is your duty to tell the police about this.;[sound:NewHeadwayInt4HU400144B.mp3];;X;Unit2
400145;előteremti a megélhetés-hez szükséges pénzt (v);earn a living;[sound:NewHeadwayInt4HU400145A.mp3];Most people have to work to earn a living.;[sound:NewHeadwayInt4HU400145B.mp3];;X;Unit2
400146;(pénz) kereső (n);earner;[sound:NewHeadwayInt4HU400146A.mp3];Doctors earn a lot – they are high earners.;[sound:NewHeadwayInt4HU400146B.mp3];;X;Unit2
400147;hóbortos (adj);eccentric;[sound:NewHeadwayInt4HU400147A.mp3];She’s a lovely old lady, but a bit eccentric.;[sound:NewHeadwayInt4HU400147B.mp3];;X;Unit2
400148;alkalmazott (n);employee;[sound:NewHeadwayInt4HU400148A.mp3];The business has 300 employees.;[sound:NewHeadwayInt4HU400148B.mp3];;X;Unit2
400149;elfoglaltság (n);engagement;[sound:NewHeadwayInt4HU400149A.mp3];I won’t be able to come to the party – I have another engagement.;[sound:NewHeadwayInt4HU400149B.mp3];;X;Unit2
400150;hatalmas (adj);enormous;[sound:NewHeadwayInt4HU400150A.mp3];This jacket is far too big – it’s enormous!;[sound:NewHeadwayInt4HU400150B.mp3];;X;Unit2
400151;terjeszkedik (v);expand;[sound:NewHeadwayInt4HU400151A.mp3];The hospital is too small and must expand.;[sound:NewHeadwayInt4HU400151B.mp3];;X;Unit2
400152;expedíció (n);expedition;[sound:NewHeadwayInt4HU400152A.mp3];We’re going on an expedition up the Amazon.;[sound:NewHeadwayInt4HU400152B.mp3];;X;Unit2
400153;széleskörűen (adv);extensively;[sound:NewHeadwayInt4HU400153A.mp3];She has read extensively.;[sound:NewHeadwayInt4HU400153B.mp3];;X;Unit2
400154;pazarlóan (adv);extravagantly;[sound:NewHeadwayInt4HU400154A.mp3];The room was extravagantly decorated.;[sound:NewHeadwayInt4HU400154B.mp3];;X;Unit2
400155;komp (n);ferry;[sound:NewHeadwayInt4HU400155A.mp3];We got the ferry from England to France.;[sound:NewHeadwayInt4HU400155B.mp3];;X;Unit2
400156;elrepül (idő) (v);fly by;[sound:NewHeadwayInt4HU400156A.mp3];The weeks soon flew by.;[sound:NewHeadwayInt4HU400156B.mp3];;X;Unit2
400157;turmixgép (n);food processor;[sound:NewHeadwayInt4HU400157A.mp3];I made the soup in a food processor.;[sound:NewHeadwayInt4HU400157B.mp3];;X;Unit2
400158;(zsírban) süt (v);fry;[sound:NewHeadwayInt4HU400158A.mp3];Fry the chicken in vegetable oil.;[sound:NewHeadwayInt4HU400158B.mp3];;X;Unit2
400159;elszabadul mindentől (v);get away from it all;[sound:NewHeadwayInt4HU400159A.mp3];I need a holiday to get away from it all!;[sound:NewHeadwayInt4HU400159B.mp3];;X;Unit2
